obs,coid,tic,conm_x,gvkey,ceo_name,ceo_race(black)_manual check,ceo_ethnicity_manual check,,ceo_minority,ceo_gender,ceo_female,ceo_active_2020_may26_dec31,firm_multiple_ceos_may26_dec31,firm_coceo_2020,firm_ceo_change_2020_may26_dec31,firm_ceo_change_date_2020,ceo_in_or_out_2020,DateStartRole_boardex,DateEndRole_boardex,Actual_Bermiss_discrepancy,RoleName_boardex,Interim_boardex,ethnicity_boardex (for comparison with ceo_ethnicity column)
370,369,SIVB,SVB FINANCIAL GROUP,17120,Gregory W. Becker,0,Caucasian/White,,0,M,0,1,0,0,0,,,4/1/11,3/10/23,0,,0,CAUCASIAN/WHITE
371,370,TRMB,TRIMBLE INC,22815,Robert G. Painter,0,Caucasian/White,,0,M,0,1,0,0,1,1/4/20,incoming,1/4/20,,0,,0,CAUCASIAN/WHITE
372,371,VAR,VARIAN MEDICAL SYSTEMS INC,11115,Dow Wilson,0,Caucasian/White,,0,M,0,1,0,0,0,,,9/29/12,10/5/20,0,President/CEO,0,CAUCASIAN/WHITE
373,372,SNPS,SYNOPSYS INC,24975,"Doctor Aart De Geus, Doctor Chi-Foon Chan",0,Caucasian/White,,0,M,0,1,1,1,0,0,0,1/1/86,,0,Chairman/Co-CEO,0,CAUCASIAN/WHITE
374,373,WDC,WESTERN DIGITAL CORP,11399,David Goeckeler,0,Caucasian/White,,0,M,0,1,0,0,0,,,3/9/20,,0,,0,CAUCASIAN/WHITE
375,374,XLNX,XILINX INC,22325,Victor Peng,0,Asian/Chinese,,1,M,0,1,0,0,0,,,1/29/18,2/14/22,0,President/CEO,0,ASIAN (EXCLUDE INDIAN/SOUTH ASIAN)
376,375,ADM,ARCHER-DANIELS-MIDLAND CO,1722,Juan Luciano,0,Hispanic/Latino,,1,M,0,1,0,0,0,,,1/1/16,,0,Chairman/President/CEO,0,HISPANIC/LATIN AMERICAN
377,376,AJG,ARTHUR J GALLAGHER & CO,4973,Pat Gallagher Jr,0,Caucasian/White,,0,M,0,1,0,0,0,,,10/19/06,1/1/24,0,Chairman/President/CEO,0,CAUCASIAN/WHITE
378,377,ALL,ALLSTATE CORP,28349,Tom Wilson II,0,Caucasian/White,,0,M,0,1,0,0,0,,,2/23/18,,0,Chairman/President/CEO,0,CAUCASIAN/WHITE
379,378,BA,BOEING CO,2285,David L. Calhoun,0,Caucasian/White,,0,M,0,1,0,0,0,,,,,0,CEO,1,CAUCASIAN/WHITE
380,379,CAG,CONAGRA BRANDS INC,3362,Sean Connolly,0,Caucasian/White,,0,M,0,1,0,0,0,,,4/6/15,,0,President/CEO,0,CAUCASIAN/WHITE
381,380,CBOE,CBOE GLOBAL MARKETS INC,184500,Ed Tilly,0,Caucasian/White,,0,M,0,1,0,0,0,,,1/14/19,5/12/22,0,Chairman/President/CEO,0,CAUCASIAN/WHITE
382,381,CME,CME GROUP INC,149070,The Hon. Terry Duffy,0,Caucasian/White,,0,M,0,1,0,0,0,,,11/10/16,,0,Chairman/CEO,0,CAUCASIAN/WHITE
383,382,EQR,EQUITY RESIDENTIAL,28733,Mark Parrell,0,Caucasian/White,,0,M,0,1,0,0,0,,,12/31/18,,0,President/CEO,0,CAUCASIAN/WHITE
384,383,EXC,EXELON CORP,8539,Chris Crane,0,Caucasian/White,,0,M,0,1,0,0,0,,,3/12/12,10/17/22,1,President/CEO,0,CAUCASIAN/WHITE
385,384,GEHC,GE HEALTHCARE TECHNOLOGI INC,41818,Kieran Murphy,0,Caucasian/White,,0,M,0,1,0,0,0,,,6/1/17,1/3/22,0,,0,CAUCASIAN/WHITE
386,385,IEX,IDEX CORP,15267,"Andrew K. Silvernail, Eric D. Ashleman",0,Caucasian/White,,0,M,0,1,1,0,1,12/15/20,incoming,12/15/20,,0,,0,CAUCASIAN/WHITE
387,386,ITW,ILLINOIS TOOL WORKS,5878,Ernest Santi,0,Caucasian/White,,0,M,0,1,0,0,0,,,5/8/15,1/1/24,0,Chairman/CEO,0,CAUCASIAN/WHITE
388,387,LKQ,LKQ CORP,155394,Nick Zarcone,0,Caucasian/White,,0,M,0,1,0,0,0,,,5/31/17,,0,President/CEO,0,CAUCASIAN/WHITE
389,388,MCD,MCDONALD'S CORP,7154,Chris Kempczinski,0,Caucasian/White,,0,M,0,1,0,0,0,,,,,0,,0,CAUCASIAN/WHITE
390,389,MDLZ,MONDELEZ INTERNATIONAL INC,142953,Doctor Dirk van de Put,0,Caucasian/White,,0,M,0,1,0,0,0,,,4/1/18,,1,Chairman/CEO,0,CAUCASIAN/WHITE
391,390,MSI,MOTOROLA SOLUTIONS INC,7585,Greg Brown,0,Caucasian/White,,0,M,0,1,0,0,0,,,5/3/11,,0,Chairman/CEO,0,CAUCASIAN/WHITE
392,391,NTRS,NORTHERN TRUST CORP,7982,Mike O'Grady,0,Caucasian/White,,0,M,0,1,0,0,0,,,1/23/19,,1,Chairman/President/CEO,0,CAUCASIAN/WHITE
393,392,UAL,UNITED AIRLINES HOLDINGS INC,10795,Scott Kirby,0,Caucasian/White,,0,M,0,1,1,0,0,5/20/20,incoming,5/20/20,,1,CEO,1,CAUCASIAN/WHITE
394,393,VTR,VENTAS INC,110179,Debra Cafaro,0,Caucasian/White,,0,F,1,1,0,0,0,,,11/2/10,,0,Chairman/CEO,0,CAUCASIAN/WHITE
395,394,KEYS,KEYSIGHT TECHNOLOGIES INC,20232,Ron Nersesian,0,Caucasian/White,,0,M,0,1,0,0,0,,,11/1/19,5/1/22,0,Chairman/President/CEO,0,CAUCASIAN/WHITE
396,395,ALK,ALASKA AIR GROUP INC,1230,Brad Tilden,0,Caucasian/White,,0,M,0,1,0,0,0,,,1/1/14,3/31/21,0,Chairman/President/CEO,0,CAUCASIAN/WHITE
397,396,AMZN,AMAZON.COM INC,64768,Jeff Bezos,0,Caucasian/White,,0,M,0,1,0,0,0,,,10/1/00,7/5/21,0,Chairman/President/CEO,0,CAUCASIAN/WHITE
398,397,COST,COSTCO WHOLESALE CORP,29028,W Jelinek,0,Caucasian/White,,0,M,0,1,0,0,0,,,1/1/12,2/2/22,0,President/CEO,0,CAUCASIAN/WHITE
399,398,EXPD,EXPEDITORS INTL WASH INC,4494,Jeff Musser,0,Caucasian/White,,0,M,0,1,0,0,0,,,3/1/14,,0,President/CEO,0,CAUCASIAN/WHITE
400,399,EXPE,EXPEDIA GROUP INC,126296,Peter Kern,0,Caucasian/White,,0,M,0,1,0,0,0,,,4/22/20,,0,,0,CAUCASIAN/WHITE
401,400,FFIV,F5 INC,121077,Francois Locoh-Donou,1,African American/Black,,1,M,0,1,0,0,0,,,,,0,,0,BLACK/AFRICAN AMERICAN
402,401,MSFT,MICROSOFT CORP,12141,Satya Nadella,0,Asian/Indian,,1,M,0,1,0,0,0,,,2/4/14,6/16/21,0,CEO,0,INDIAN/SOUTH ASIAN
403,402,PCAR,PACCAR INC,8253,R Feight,0,Caucasian/White,,0,M,0,1,0,0,0,,,7/1/19,,0,CEO,0,CAUCASIAN/WHITE
404,403,SBUX,STARBUCKS CORP,25434,Kevin Johnson,0,Caucasian/White,,0,M,0,1,0,0,0,,,4/3/17,4/4/22,0,President/CEO,0,CAUCASIAN/WHITE
405,404,TMUS,T-MOBILE US INC,17874,Mike Sievert,0,Caucasian/White,,0,M,0,0,0,0,0,4/1/20,incoming,4/1/20,,0,,0,CAUCASIAN/WHITE
406,405,WY,WEYERHAEUSER CO,11456,Devin Stockfish,0,Caucasian/White,,0,M,0,1,0,0,0,,,1/1/19,,0,President/CEO,0,CAUCASIAN/WHITE
407,406,LNT,ALLIANT ENERGY CORP,11554,John Larsen,0,Caucasian/White,,0,M,0,1,0,0,0,,,7/1/19,2/27/23,0,Chair/President/CEO,0,CAUCASIAN/WHITE
408,407,ETSY,ETSY INC,23238,Josh Silverman,0,Caucasian/White,,0,M,0,1,0,0,0,,,5/3/17,,0,President/CEO,0,CAUCASIAN/WHITE
409,408,ADP,AUTOMATIC DATA PROCESSING,1891,Carlos Rodriguez,0,Hispanic/Latino,,1,M,0,1,0,0,0,,,11/8/11,1/1/22,0,President/CEO,0,HISPANIC/LATIN AMERICAN
410,409,PEG,PUBLIC SERVICE ENTRP GRP INC,8810,Doctor Ralph Izzo,0,Caucasian/White,,0,M,0,1,0,0,0,,,4/1/07,8/31/22,0,Chairman/President/CEO,0,CAUCASIAN/WHITE
411,410,PRU,PRUDENTIAL FINANCIAL INC,143356,Charlie Lowrey Jr,0,Caucasian/White,,0,M,0,1,0,0,0,,,4/5/19,,0,Chairman/President/CEO,0,CAUCASIAN/WHITE
412,411,BEN,FRANKLIN RESOURCES INC,4885,Jennifer M. Johnson,0,Caucasian/White,,0,F,1,0,0,0,0,2/11/20,incoming,2/11/20,,0,,0,CAUCASIAN/WHITE
413,412,EA,ELECTRONIC ARTS INC,16721,Andrew Wilson,0,Caucasian/White,,0,M,0,1,0,0,0,,,9/17/13,8/12/21,0,CEO,0,CAUCASIAN/WHITE
414,413,EQIX,EQUINIX INC,138743,Charles Meyers,0,Caucasian/White,,0,M,0,1,0,0,0,,,9/12/18,,0,President/CEO,0,CAUCASIAN/WHITE
415,414,ESS,ESSEX PROPERTY TRUST,30293,Mike Schall,0,Caucasian/White,,0,M,0,1,0,0,0,,,1/1/11,3/31/23,0,President/CEO,0,CAUCASIAN/WHITE
416,415,GILD,GILEAD SCIENCES INC,24856,Daniel O'Day,0,Caucasian/White,,0,M,0,1,0,0,0,,,3/1/19,,0,Chairman/CEO,0,CAUCASIAN/WHITE
417,416,META,META PLATFORMS INC,170617,Mark Zuckerberg,0,Caucasian/White,,0,M,0,1,0,0,0,,,5/18/12,,0,Chairman/CEO,0,CAUCASIAN/WHITE
418,417,RHI,ROBERT HALF INTL INC,2312,Michael Waddell,0,Caucasian/White,,0,M,0,1,0,0,0,,,12/15/19,,0,Vice Chairman/CEO/President,0,CAUCASIAN/WHITE
419,418,V,VISA INC,179534,Al Kelly Jr,0,Caucasian/White,,0,M,0,1,0,0,0,,,4/16/19,2/1/23,0,Chairman/CEO,0,CAUCASIAN/WHITE
420,419,AIV,APARTMENT INVST & MGMT CO,30490,"The Hon. Terry Considine, Wes Powell",0,Caucasian/White,,0,M,0,1,1,0,1,12/15/20,outgoing,2/10/09,12/15/20,0,Chairman/CEO,0,CAUCASIAN/WHITE
421,420,DVA,DAVITA INC,61483,Javier Rodriguez,0,Hispanic/Latino,,1,M,0,1,0,0,0,,,6/1/19,,0,CEO,0,HISPANIC/LATIN AMERICAN
422,421,NEM,NEWMONT CORP,7881,Tom Palmer,0,Caucasian/White,,0,M,0,1,0,0,0,,,10/1/19,,0,President/CEO,0,CAUCASIAN/WHITE
423,422,PEAK,HEALTHPEAK PROPERTIES INC,13125,Tom Herzog,0,Caucasian/White,,0,M,0,1,0,0,0,,,1/1/17,10/6/22,0,,0,CAUCASIAN/WHITE
424,423,VFC,VF CORP,11060,Steve Rendle,0,Caucasian/White,,0,M,0,1,0,0,0,,,10/28/17,12/2/22,0,Chairman (Executive)/President/CEO,0,CAUCASIAN/WHITE
425,424,WU,WESTERN UNION CO,175263,Hikmet Ersek,0,Caucasian/White,,0,M,0,1,0,0,0,,,9/1/10,12/31/21,0,President/CEO,0,CAUCASIAN/WHITE
426,425,CLX,CLOROX CO/DE,3121,Benno Dorer,0,Caucasian/White,,0,M,0,1,0,0,0,,,8/15/16,9/14/20,0,Chairman/CEO,0,CAUCASIAN/WHITE
427,426,ENPH,ENPHASE ENERGY INC,187450,Badri Kothandaraman,0,Asian/Indian,,1,M,0,1,0,0,0,,,9/3/17,,0,President/CEO,0,INDIAN/SOUTH ASIAN
428,427,LRCX,LAM RESEARCH CORP,6565,Tim Archer,0,Caucasian/White,,0,M,0,1,0,0,0,,,12/5/18,,0,President/CEO,0,CAUCASIAN/WHITE
429,428,PCG,PG&E CORP,8264,"Bill Johnson, Bill Smith",0,Caucasian/White,,0,M,0,1,1,0,1,6/30/20,incoming (interim),6/30/20,11/18/20,0,Interim CEO,1,CAUCASIAN/WHITE
430,429,ROST,ROSS STORES INC,9248,Barbara Rentler,0,Caucasian/White,,0,F,1,1,0,0,0,,,6/1/14,5/19/21,0,CEO,0,CAUCASIAN/WHITE
431,430,ALXN,ALEXION PHARMACEUTICALS INC,62263,Doctor Ludwig Hantson,0,Caucasian/White,,0,M,0,1,0,0,0,,,3/27/17,7/21/21,0,CEO,0,CAUCASIAN/WHITE
432,431,AMT,AMERICAN TOWER CORP,105365,"James D. Taiclet Jr., Thomas A. Bartlett",0,Caucasian/White,,0,M,0,1,1,0,1,6/20/20,outgoing,6/25/05,6/14/20,0,,0,CAUCASIAN/WHITE
433,432,BXP,BOSTON PROPERTIES INC,64925,Owen Thomas,0,Caucasian/White,,0,M,0,1,0,0,0,,,4/2/13,5/19/22,0,CEO,0,CAUCASIAN/WHITE
434,433,GE,GENERAL ELECTRIC CO,5047,Larry Culp Jr,0,Caucasian/White,,0,M,0,1,0,0,0,,,9/30/18,,0,Chairman/CEO,0,CAUCASIAN/WHITE
435,434,IRM,IRON MOUNTAIN INC,62374,Bill Meaney,0,Caucasian/White,,0,M,0,1,0,0,0,,,1/7/13,,0,President/CEO,0,CAUCASIAN/WHITE
436,435,STT,STATE STREET CORP,10035,Ronald P. O'Hanley,0,Caucasian/White,,0,M,0,1,0,0,0,,,1/1/19,,0,,0,CAUCASIAN/WHITE
437,436,VRTX,VERTEX PHARMACEUTICALS INC,24344,Reshma Kewalramani,0,Asian/Indian,,1,F,1,1,0,0,1,4/20/20,incoming,4/1/20,,0,,0,INDIAN/SOUTH ASIAN
438,437,CMCSA,COMCAST CORP,3226,Brian Roberts,0,Caucasian/White,,0,M,0,1,0,0,0,,,5/25/04,10/11/22,1,Chairman/President/CEO,0,CAUCASIAN/WHITE
439,438,FMC,FMC CORP,4510,Doctor Pierre Brondeau,0,Caucasian/White,,0,M,0,1,0,0,0,,,6/1/18,5/31/20,0,Chairman/CEO,0,CAUCASIAN/WHITE
440,439,AEE,AMEREN CORP,10860,Warner Baxter,0,Caucasian/White,,0,M,0,1,0,0,0,,,7/1/14,1/1/22,0,Chairman/President/CEO,0,CAUCASIAN/WHITE
441,440,ETR,ENTERGY CORP,7366,Leo Denault,0,Caucasian/White,,0,M,0,1,0,0,0,,,2/1/13,,1,Chairman/CEO,0,CAUCASIAN/WHITE
442,441,ADSK,AUTODESK INC,1878,Doctor Andrew Anagnost,0,Caucasian/White,,0,M,0,1,0,0,0,,,6/19/17,1/19/21,0,President/CEO,0,CAUCASIAN/WHITE
443,442,CRM,SALESFORCE INC,157855,Marc Benioff,0,Caucasian/White,,0,M,0,1,0,0,0,,,6/21/05,,0,,0,CAUCASIAN/WHITE
444,443,FRC,FIRST REPUBLIC BANK,14275,James H. Herbert II,0,Caucasian/White,,0,M,0,1,0,0,0,,,6/7/05,3/13/22,0,,0,CAUCASIAN/WHITE
445,444,GPS,GAP INC,4990,Art Peck,0,Caucasian/White,,0,M,0,1,0,0,0,,,2/15/24,11/19/24,0,,0,CAUCASIAN/WHITE
446,445,PLD,PROLOGIS INC,29984,Hamid Moghadam,0,Middle Eastern,,1,M,0,1,0,0,0,,,1/1/13,,0,Chairman/CEO,0,MIDDLE-EASTERN/NORTH AFRICAN
447,446,TWTR,TWITTER INC,18872,Jack Dorsey,0,Caucasian/White,,0,M,0,1,0,0,0,,,9/30/15,11/29/21,0,CEO,0,CAUCASIAN/WHITE
448,447,WFC,WELLS FARGO & CO,8007,Charlie Scharf,0,Caucasian/White,,0,M,0,1,0,0,0,,,10/21/19,,1,President/CEO,0,CAUCASIAN/WHITE
449,448,AIG,AMERICAN INTERNATIONAL GROUP,1487,Brian Duperreault,0,Caucasian/White,,0,M,0,1,0,0,0,,,5/1/17,3/1/21,0,,0,CAUCASIAN/WHITE
450,449,AIZ,ASSURANT INC,157057,Alan Colberg,0,Caucasian/White,,0,M,0,1,0,0,0,,,1/1/15,5/18/21,0,President/CEO,0,CAUCASIAN/WHITE
451,450,AXP,AMERICAN EXPRESS CO,1447,Steve Squeri,0,Caucasian/White,,0,M,0,1,0,0,0,,,2/1/18,,1,Chairman/CEO,0,CAUCASIAN/WHITE
452,451,BK,BANK OF NEW YORK MELLON CORP,2019,Thomas P. Gibbons,0,Caucasian/White,,0,M,0,1,0,0,0,,,3/1/20,8/1/22,0,CEO,0,CAUCASIAN/WHITE
453,452,BLK,BLACKROCK INC,124434,Larry Fink,0,Caucasian/White,,0,M,0,1,0,0,0,,,1/1/98,,0,Chairman/CEO,0,CAUCASIAN/WHITE
454,453,BMY,BRISTOL-MYERS SQUIBB CO,2403,Doctor Giovanni Caforio,0,Caucasian/White,,0,M,0,1,0,0,0,,,5/2/17,11/1/23,0,Chairman/CEO,0,CAUCASIAN/WHITE
455,454,C,CITIGROUP INC,3243,Mike Corbat,0,Caucasian/White,,0,M,0,1,0,0,0,,,10/15/12,2/26/21,1,CEO,0,CAUCASIAN/WHITE
456,455,CL,COLGATE-PALMOLIVE CO,3170,Noel Wallace,0,Caucasian/White,,0,M,0,1,0,0,0,,,4/1/19,,0,Chairman/President/CEO,0,CAUCASIAN/WHITE
457,456,ED,CONSOLIDATED EDISON INC,3413,John McAvoy,0,Caucasian/White,,0,M,0,1,0,0,0,,,5/12/14,12/29/20,0,Chairman/President/CEO,0,CAUCASIAN/WHITE
458,457,EL,ESTEE LAUDER COMPANIES INC,61567,Fabrizio Freda,0,Caucasian/White,,0,M,0,1,0,0,0,,,7/1/09,,1,President/CEO,0,CAUCASIAN/WHITE
459,458,FOXA,FOX CORP,34636,Lachlan K. Murdoch,0,Caucasian/White,,0,M,0,1,0,0,0,,,3/19/24,,0,,0,CAUCASIAN/WHITE
460,459,GS,GOLDMAN SACHS GROUP INC,114628,David Solomon,0,Caucasian/White,,0,M,0,1,0,0,0,,,1/1/19,,0,Chairman/CEO,0,CAUCASIAN/WHITE
461,460,HES,HESS CORP,1380,John Hess,0,Caucasian/White,,0,M,0,1,0,0,0,,,5/16/13,,0,CEO,0,CAUCASIAN/WHITE
462,461,IFF,INTL FLAVORS & FRAGRANCES,6078,Andreas Fibig,0,Caucasian/White,,0,M,0,1,0,0,0,,,12/1/14,2/14/22,0,Chairman/CEO,0,CAUCASIAN/WHITE
463,462,IPG,INTERPUBLIC GROUP OF COS,6136,Michael Roth,0,Caucasian/White,,0,M,0,1,0,0,0,,,1/19/05,1/1/21,0,Chairman/CEO,0,CAUCASIAN/WHITE
464,463,JPM,JPMORGAN CHASE & CO,2968,Jamie Dimon,0,Caucasian/White,,0,M,0,1,0,0,0,,,1/30/18,,0,Chairman/CEO,0,CAUCASIAN/WHITE
465,464,L,LOEWS CORP,6781,Jim Tisch,0,Caucasian/White,,0,M,0,1,0,0,0,,,1/1/99,,0,President/CEO,0,CAUCASIAN/WHITE
466,465,MCO,MOODY'S CORP,139665,Raymond McDaniel Jr,0,Caucasian/White,,0,M,0,1,0,0,0,,,4/19/12,12/31/20,0,President/CEO,0,CAUCASIAN/WHITE
467,466,MET,METLIFE INC,133768,Michel Khalaf,0,Middle Eastern,,1,M,0,1,0,0,0,,,5/1/19,,0,President/CEO,0,MIDDLE-EASTERN/NORTH AFRICAN
468,467,MKTX,MARKETAXESS HOLDINGS INC,158742,Rick McVey,0,Caucasian/White,,0,M,0,1,0,0,0,,,9/13/06,4/3/23,0,Chairman/CEO,0,CAUCASIAN/WHITE
469,468,MMC,MARSH & MCLENNAN COS,7065,Dan Glaser,0,Caucasian/White,,0,M,0,1,0,0,0,,,1/1/13,,0,President/CEO,0,CAUCASIAN/WHITE
470,469,MS,MORGAN STANLEY,12124,James Gorman,0,Caucasian/White,,0,M,0,1,0,0,0,,,1/1/12,1/1/24,0,Chairman/CEO,0,CAUCASIAN/WHITE
471,470,MSCI,MSCI INC,178507,Henry Fernandez,0,Hispanic/Latino,,1,M,0,1,0,0,0,,,10/31/17,,0,Chairman/CEO,0,HISPANIC/LATIN AMERICAN
472,471,NDAQ,NASDAQ INC,149337,Adena Friedman,0,Caucasian/White,,0,F,1,1,0,0,0,,,1/1/17,1/1/23,0,President/CEO,0,CAUCASIAN/WHITE
473,472,NLSN,NIELSEN HOLDINGS PLC,100873,David Kenny,0,Caucasian/White,,0,M,0,1,0,0,0,,,1/1/19,3/23/21,1,CEO/Chief Diversity Officer,0,CAUCASIAN/WHITE
474,473,NWSA,NEWS CORP,18043,Robert Thomson,0,Caucasian/White,,0,M,0,1,0,0,0,,,6/28/13,,0,CEO,0,CAUCASIAN/WHITE
475,474,OMC,OMNICOM GROUP INC,4066,John Wren III,0,Caucasian/White,,0,M,0,1,0,0,0,,,5/22/18,,0,Chairman/CEO,0,CAUCASIAN/WHITE
476,475,PARA,PARAMOUNT GLOBAL,13714,Bob Bakish,0,Caucasian/White,,0,M,0,0,0,0,0,3/23/20,incoming,,3/23/20,0,,0,CAUCASIAN/WHITE
477,476,PFE,PFIZER INC,8530,Albert Bourla,0,Caucasian/White,,0,M,0,1,0,0,0,,,1/1/19,,0,,0,CAUCASIAN/WHITE
478,477,PM,PHILIP MORRIS INTERNATIONAL,179621,Andre Calantzopoulos,0,Caucasian/White,,0,M,0,1,0,0,0,,,5/8/13,5/5/21,0,CEO,0,CAUCASIAN/WHITE
479,478,PVH,PVH CORP,8551,Manny Chirico,0,Caucasian/White,,0,M,0,1,0,0,0,,,6/19/07,2/1/21,0,Chairman/CEO,0,CAUCASIAN/WHITE
480,479,RL,RALPH LAUREN CORP,64891,Patrice Louvet,0,Caucasian/White,,0,M,0,1,0,0,0,,,7/3/17,,1,President/CEO,0,CAUCASIAN/WHITE
481,480,SLG,SL GREEN REALTY CORP,65290,Marc Holliday,0,Caucasian/White,,0,M,0,1,0,0,0,,,1/1/19,12/31/23,0,Chairman/CEO,0,CAUCASIAN/WHITE
482,481,SPGI,S&P GLOBAL INC,7163,Doug Peterson,0,Caucasian/White,,0,M,0,1,0,0,0,,,11/1/13,,0,President/CEO,0,CAUCASIAN/WHITE
483,482,TPR,TAPESTRY INC,140541,Joanne Crevoiserat,0,Caucasian/White,,0,F,1,1,1,0,1,7/1/20,incoming,7/20/20,,1,Chairman/CEO,0,CAUCASIAN/WHITE
484,483,TRV,TRAVELERS COS INC,62689,Alan Schnitzer,0,Caucasian/White,,0,M,0,1,0,0,0,,,8/1/17,,0,Chairman/CEO,0,CAUCASIAN/WHITE
485,484,TTWO,TAKE-TWO INTERACTIVE SFTWR,64630,Strauss Zelnick,0,Caucasian/White,,0,M,0,1,0,0,0,,,1/1/11,,0,Chairman (Executive)/CEO,0,CAUCASIAN/WHITE
486,485,VICI,VICI PROPERTIES INC,32580,Ed Pitoniak,0,Caucasian/White,,0,M,0,1,0,0,0,,,2/1/18,,0,CEO,0,CAUCASIAN/WHITE
487,486,VNO,VORNADO REALTY TRUST,11220,Steve Roth,0,Caucasian/White,,0,M,0,1,0,0,0,,,4/15/13,,0,Chairman/CEO,0,CAUCASIAN/WHITE
488,487,VZ,VERIZON COMMUNICATIONS INC,2136,Hans Vestberg,0,Caucasian/White,,0,M,0,1,0,0,0,,,3/8/19,,0,Chairman/CEO,0,CAUCASIAN/WHITE
489,488,CSGP,COSTAR GROUP INC,112111,Andy Florance,0,Caucasian/White,,0,M,0,1,0,0,0,,,1/1/95,,0,President/CEO,0,CAUCASIAN/WHITE
490,489,DHR,DANAHER CORP,3735,Tom Joyce Jr,0,Caucasian/White,,0,M,0,1,0,0,0,,,9/9/14,9/1/20,0,President/CEO,0,CAUCASIAN/WHITE
491,490,BG,BUNGE LTD,144435,Greg Heckman,0,Caucasian/White,,0,M,0,1,0,0,0,,,4/25/19,,0,CEO,0,CAUCASIAN/WHITE
492,491,CNC,CENTENE CORP,145552,Michael Neidorff,0,Caucasian/White,,0,M,0,1,0,0,0,,,4/23/19,9/7/21,0,Chairman/President/CEO,0,CAUCASIAN/WHITE
493,492,EMR,EMERSON ELECTRIC CO,4321,David Farr,0,Caucasian/White,,0,M,0,1,0,0,0,,,10/5/10,2/5/21,0,Chairman/CEO,0,CAUCASIAN/WHITE
494,493,HII,HUNTINGTON INGALLS IND INC,186310,Mike Petters,0,Caucasian/White,,0,M,0,1,0,0,0,,,3/31/11,3/1/22,1,President/CEO,0,CAUCASIAN/WHITE