obs,tic,conm_x,gvkey,CrossVerified_ExecType,new_director_name,Ethnicity,Race(black),Minority,Gender,Female,Num_Black_TMT,TMT_Active_in_2020 (Manual Check),BlackCEO_Appointment_date (within the timeframe),new_director_source
1,AFL,AFLAC INC,1449,TMT,Audrey Boone Tillman,African American/Black,1,1,F,1,2,Yes,,2Bermiss
2,AFL,AFLAC INC,1449,TMT,Teresa White,African American/Black,1,1,F,1,2,Yes,,2Bermiss
3,AXP,AMERICAN EXPRESS CO,1447,CEO,Kenneth Chenault,African American/Black,1,1,M,0,3,Yes,,2Bermiss
4,T,AT&T INC,9899,TMT,Mirian Graddick,African American/Black,1,1,F,1,2,Yes,,2Bermiss
5,T,AT&T INC,9899,TMT,Xavier Williams,African American/Black,1,1,M,0,2,Yes,,2Bermiss
6,BA,BOEING CO,2285,TMT,James Bell,African American/Black,1,1,M,0,2,No,,2Bermiss
7,CCL,CARNIVAL CORPORATION & PLC,13498,CEO,Arnold Donald,African American/Black,1,1,M,0,1,Yes,,2Bermiss
8,CI,CIGNA CORP,2547,TMT,Nicole Jones,African American/Black,1,1,F,1,2,Yes,,2Bermiss
9,CTAS,CINTAS CORP,3062,TMT,Phillip Holloman,African American/Black,1,1,M,0,1,No,,2Bermiss
10,C,CITIGROUP INC,3243,TMT,Mark Mason,African American/Black,1,1,M,0,1,Yes,,2Bermiss
11,CMS,CMS ENERGY CORP,3439,TMT,Rejji Hayes,African American/Black,1,1,M,0,1,Yes,,2Bermiss
12,KO,COCA-COLA CO,3144,TMT,Alexander Cummings,African American/Black,1,1,M,0,3,No,,2Bermiss
13,FFIV,F5 INC,121077,CEO,Francois Locoh-Donou,African American/Black,1,1,M,0,1,Yes,,3BoardEx
14,KO,COCA-COLA CO,3144,TMT,Kathy Waller,African American/Black,1,1,F,1,3,No,,2Bermiss
15,KO,COCA-COLA CO,3144,TMT,Vicki Palmer,African American/Black,1,1,F,1,3,No,,2Bermiss
16,CMCSA,COMCAST CORP,3226,TMT,Kimberley Harris,African American/Black,1,1,F,1,1,Yes,,2Bermiss
17,GLW,CORNING INC,3532,TMT,Lawrence McRae,African American/Black,1,1,M,0,1,Yes,,2Bermiss
18,DRI,DARDEN RESTAURANTS INC,31846,CEO,Clarence Otis,African American/Black,1,1,M,0,1,Yes,,2Bermiss
19,DIS,DISNEY (WALT) CO,3980,TMT,Dennis Hightower,African American/Black,1,1,M,0,2,No,,2Bermiss
20,HBI,HANESBRANDS INC,175319,CEO,Gerald Evans Jr,African American/Black,1,1,M,0,1,Yes,Effective in 8/3/2020,3BoardEx
21,DIS,DISNEY (WALT) CO,3980,TMT,Richard Nanula,African American/Black,1,1,M,0,2,No,,2Bermiss
22,DPZ,DOMINO'S PIZZA INC,160211,TMT,Troy Ellis,African American/Black,1,1,M,0,1,Yes,,2Bermiss
23,ETR,ENTERGY CORP,7366,TMT,Marcus Brown,African American/Black,1,1,M,0,2,Yes,,2Bermiss
24,ETR,ENTERGY CORP,7366,TMT,Roderick West,African American/Black,1,1,M,0,2,Yes,,2Bermiss
25,ETR,ENTERGY CORP,7366,TMT,Roderick West,African American/Black,1,1,M,0,2,Yes,,2Bermiss
26,EL,ESTEE LAUDER COMPANIES INC,61567,TMT,Tracey Travis,African American/Black,1,1,F,1,2,Yes,,2Bermiss
27,EXC,EXELON CORP,8539,TMT,Frank Clark,African American/Black,1,1,M,0,1,No,,2Bermiss
28,GIS,GENERAL MILLS INC,5071,TMT,Marc Belton,African American/Black,1,1,M,0,2,No,,2Bermiss
29,GM,GENERAL MOTORS CO,5073,TMT,Alicia Boler Davis,African American/Black,1,1,F,1,1,Yes,,2Bermiss
30,GILD,GILEAD SCIENCES INC,24856,TMT,Robin Washington,African American/Black,1,1,F,1,1,No,,2Bermiss
31,MTB,M & T BANK CORP,4699,CEO,Rene Jones,African American/Black,1,1,M,0,1,Yes,,3BoardEx
32,HBI,HANESBRANDS INC,175319,TMT,Joia Johnson,African American/Black,1,1,F,1,1,Yes,,2Bermiss
33,HD,HOME DEPOT INC,5680,TMT,Ann-Marie Campbell,African American/Black,1,1,F,1,3,Yes,,2Bermiss
34,HD,HOME DEPOT INC,5680,TMT,Marvin Ellison,African American/Black,1,1,M,0,3,Yes,,2Bermiss
35,HD,HOME DEPOT INC,5680,TMT,Teresa Wynn Roseborough,African American/Black,1,1,F,1,3,Yes,,2Bermiss
36,HII,HUNTINGTON INGALLS IND INC,186310,TMT,Kellye Walker,African American/Black,1,1,F,1,2,Yes,,2Bermiss
37,MRK,MERCK & CO,7257,CEO,Ken Frazier,African American/Black,1,1,F,1,4,Yes,,3BoardEx
38,KEY,KEYCORP,9783,TMT,Paul Harris,African American/Black,1,1,M,0,2,Yes,,2Bermiss
39,LLY,LILLY (ELI) & CO,6730,CEO,Derica Rice,African American/Black,1,1,M,0,3,Yes,,2Bermiss
40,LMT,LOCKHEED MARTIN CORP,6774,TMT,Linda Gooden,African American/Black,1,1,F,1,1,No,,2Bermiss
41,MCD,MCDONALD'S CORP,7154,CEO,Donald Thompson,African American/Black,1,1,M,0,2,Yes,,2Bermiss
42,MCD,MCDONALD'S CORP,7154,TMT,Raymond Mines,African American/Black,1,1,M,0,2,No,,2Bermiss
43,MRK,MERCK & CO,7257,TMT,Bridgette Heller,African American/Black,1,1,F,1,4,No,,2Bermiss
44,MRK,MERCK & CO,7257,TMT,Willie Deese,African American/Black,1,1,M,0,4,No,,2Bermiss
45,NLSN,NIELSEN HOLDINGS PLC,100873,TMT,Jamere Jackson,African American/Black,1,1,M,0,1,Yes,,2Bermiss
46,NI,NISOURCE INC,7974,TMT,Donald Brown,African American/Black,1,1,M,0,2,Yes,,2Bermiss
47,NI,NISOURCE INC,7974,CEO,Lloyd Yates,African American/Black,1,1,M,0,2,Yes,,2Bermiss
48,NTRS,NORTHERN TRUST CORP,7982,TMT,Shundrawn Thomas,African American/Black,1,1,M,0,1,Yes,,2Bermiss
49,NLOK,NORTONLIFELOCK INC,15855,CEO,John Thompson,African American/Black,1,1,M,0,2,Yes,,2Bermiss
50,PFE,PFIZER INC,8530,TMT,Freda Lewis-Hall,African American/Black,1,1,F,1,1,No,,2Bermiss
51,RTN,RAYTHEON CO,8972,CEO,Hansel Tookes,African American/Black,1,1,M,0,1,No,,2Bermiss
52,SO,SOUTHERN CO,9850,CEO,Christopher Womack,African American/Black,1,1,M,0,2,Yes,,2Bermiss
53,TPR,TAPESTRY INC,140541,CEO,Jide Zeitlin,African American/Black,1,1,M,0,1,Yes,,2Bermiss
54,TGT,TARGET CORP,3813,TMT,Laysha Ward,African American/Black,1,1,F,1,1,Yes,,2Bermiss
55,UNP,UNION PACIFIC CORP,10867,TMT,Eric Butler,African American/Black,1,1,M,0,3,No,,2Bermiss
56,UNP,UNION PACIFIC CORP,10867,TMT,Rhonda Ferguson,African American/Black,1,1,F,1,3,Yes,,2Bermiss
57,UAL,UNITED AIRLINES HOLDINGS INC,10795,CEO,Brett Hart,African American/Black,1,1,M,0,1,Yes,,2Bermiss
58,UNH,UNITEDHEALTH GROUP INC,10903,TMT,Reed Tuckson,African American/Black,1,1,M,0,1,No,,2Bermiss
59,WBA,WALGREENS BOOTS ALLIANCE INC,11264,TMT,Kathleen Wilson-Thompson,African American/Black,1,1,F,1,2,Yes,,2Bermiss
60,WBA,WALGREENS BOOTS ALLIANCE INC,11264,CEO,Rosalind Brewer,African American/Black,1,1,F,1,2,Yes,,2Bermiss
61,WFC,WELLS FARGO & CO,8007,TMT,Yvette Hollingsworth Clark,African American/Black,1,1,F,1,2,Yes,,2Bermiss
62,WHR,WHIRLPOOL CORP,11465,TMT,Michael Todman,African American/Black,1,1,M,0,1,No,,2Bermiss
63,XRX,XEROX HOLDINGS CORP,11636,TMT,Barry Rand,African American/Black,1,1,M,0,5,No,,2Bermiss
64,XRX,XEROX HOLDINGS CORP,11636,TMT,Darrell Ford,African American/Black,1,1,M,0,5,Yes,,2Bermiss
65,XRX,XEROX HOLDINGS CORP,11636,TMT,Kevin Warren,African American/Black,1,1,M,0,5,Yes,,2Bermiss
66,XRX,XEROX HOLDINGS CORP,11636,CEO,Ursula Burns,African American/Black,1,1,F,1,5,Yes,,2Bermiss
67,ZTS,ZOETIS INC,13721,TMT,Clinton Lewis,African American/Black,1,1,M,0,1,Yes,,2Bermiss
68,CNP,CENTERPOINT ENERGY INC,5742,TMT,Milton Carroll,African American/Black,1,1,M,0,0,Yes,,3BoardEx
69,CCI,CROWN CASTLE INC,113490,CEO,Jay Brown,African American/Black,1,1,M,0,0,Yes,,3BoardEx
70,ETR,ENTERGY CORP,7366,CEO,Gordon Lam,Asian,0,1,M,0,2,Yes,,3BoardEx
71,WFC,WELLS FARGO & CO,8007,TMT,Michelle Lee,Asian,0,1,F,1,2,Yes,,2Bermiss
72,MMM,3M CO,7435,CEO,Doctor Ken Cai,Asian,0,1,M,0,0,Yes,,3BoardEx
73,AMD,ADVANCED MICRO DEVICES,1161,CEO,Doctor Lisa Su,Asian,0,1,F,1,0,Yes,,3BoardEx
74,AVGO,BROADCOM INC,180711,CEO,Hock Tan,Asian,0,1,M,0,0,Yes,,3BoardEx
75,CDNS,CADENCE DESIGN SYSTEMS INC,13421,CEO,Lip-Bu Tan,Asian,0,1,M,0,0,Yes,,3BoardEx
76,FTNT,FORTINET INC,183377,CEO,Ken Xie,Asian/Chinese,0,1,M,0,0,Yes,,3BoardEx
77,MU,MICRON TECHNOLOGY INC,7343,TMT,K Hsu,Asian/Chinese,0,1,M,0,0,Yes,,3BoardEx
78,SNPS,SYNOPSYS INC,24975,CEO,Doctor Chi-Foon Chan,Asian/Chinese,0,1,M,0,0,Yes,,3BoardEx
79,XLNX,XILINX INC,22325,CEO,Victor Peng,Asian/Chinese,0,1,M,0,0,Yes,,3BoardEx
80,ADBE,ADOBE INC,12540,CEO,Shantanu Narayen,Asian/Indian,0,1,M,0,0,Yes,,3BoardEx
81,GOOGL,ALPHABET INC,160329,CEO,Sundar Pichai,Asian/Indian,0,1,M,0,0,Yes,,3BoardEx
82,ANSS,ANSYS INC,63080,CEO,Doctor Ajei Gopal,Asian/Indian,0,1,M,0,0,Yes,,3BoardEx
83,ANET,ARISTA NETWORKS INC,20748,CEO,Jayshree Ullal,Asian/Indian,0,1,F,1,0,Yes,,3BoardEx
84,BRK.B,BERKSHIRE HATHAWAY,2176,TMT,Ajit Jain,Asian/Indian,0,1,M,0,0,Yes,,3BoardEx
85,ENPH,ENPHASE ENERGY INC,187450,CEO,Badri Kothandaraman,Asian/Indian,0,1,M,0,0,Yes,,3BoardEx
86,FE,FIRSTENERGY CORP,8099,CEO,Gurm Sangha,Asian/Indian,0,1,M,0,0,Yes,,3BoardEx
87,ILMN,ILLUMINA INC,138205,CEO,Francis DeSouza,Asian/Indian,0,1,M,0,0,Yes,,3BoardEx
88,LYB,LYONDELLBASELL INDUSTRIES NV,294524,CEO,Bob Patel,Asian/Indian,0,1,M,0,0,Yes,,3BoardEx
89,MCHP,MICROCHIP TECHNOLOGY INC,27965,CEO,Steve Sanghi,Asian/Indian,0,1,M,0,0,Yes,,3BoardEx
90,MU,MICRON TECHNOLOGY INC,7343,CEO,Sanjay Mehrotra,Asian/Indian,0,1,M,0,0,Yes,,3BoardEx
91,MSFT,MICROSOFT CORP,12141,CEO,Satya Nadella,Asian/Indian,0,1,M,0,0,Yes,,3BoardEx
92,NTAP,NETAPP INC,61591,CEO,George Kurian,Asian/Indian,0,1,M,0,0,Yes,,3BoardEx
93,NWL,NEWELL BRANDS INC,7875,CEO,Ravi Saligram,Asian/Indian,0,1,M,0,0,Yes,,3BoardEx
94,O,REALTY INCOME CORP,30822,CEO,Sumit Roy,Asian/Indian,0,1,M,0,0,Yes,,3BoardEx
95,AOS,SMITH (A.O.),9771,TMT,Ajita Rajendra,Asian/Indian,0,1,M,0,0,No,,3BoardEx
96,SYK,STRYKER CORP,10115,CEO,Kevin Lobo,Asian/Indian,0,1,M,0,0,Yes,,3BoardEx
97,NVDA,NVIDIA CORP,117768,CEO,Jensen Huang,Asian/Taiwanese,0,1,M,0,0,Yes,,3BoardEx
98,BBY,BEST BUY CO INC,2184,CEO,Bradbury Anderson,Caucasian/White,0,0,M,0,0,Yes,,2Bermiss
99,BBY,BEST BUY CO INC,2184,CEO,Bradbury Anderson,Caucasian/White,0,0,M,0,0,Yes,,2Bermiss
100,FITB,FIFTH THIRD BANCORP,4640,CEO,Greg Carmichael,Caucasian/White,0,0,M,0,0,Yes,,2Bermiss
101,GIS,GENERAL MILLS INC,5071,CEO,Jeffrey Harmening,Caucasian/White,0,0,M,0,2,Yes,,2Bermiss
102,GILD,GILEAD SCIENCES INC,24856,CEO,Daniel O'Day,Caucasian/White,0,0,M,0,1,Yes,,2Bermiss
103,AXP,AMERICAN EXPRESS CO,1447,CEO,Steve Squeri,Caucasian/White,0,0,M,0,3,Yes,,3BoardEx
104,T,AT&T INC,9899,CEO,Darren Entwistle,Caucasian/White,0,0,M,0,2,Yes,,3BoardEx
105,MMC,MARSH & MCLENNAN COS,7065,CEO,Dean Klisura,Caucasian/White,0,0,M,0,0,Yes,,2Bermiss
106,T,AT&T INC,9899,CEO,Randall Stephenson Jr,Caucasian/White,0,0,M,0,2,Yes,Retired in 7/1/2020,3BoardEx
107,MTD,METTLER-TOLEDO INTL INC,65772,CEO,Olivier Filliol,Caucasian/White,0,0,M,0,0,Yes,,2Bermiss
108,OKE,ONEOK INC,8151,CEO,David Kyle,Caucasian/White,0,0,M,0,0,Yes,,2Bermiss
109,OKE,ONEOK INC,8151,CEO,John Gibson,Caucasian/White,0,0,M,0,0,Yes,,2Bermiss
110,BBY,BEST BUY CO INC,2184,CEO,Corie Barry,Caucasian/White,0,0,F,1,0,Yes,,3BoardEx
111,BBY,BEST BUY CO INC,2184,TMT,Hubert Joly,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
112,PARA,PARAMOUNT GLOBAL,13714,CEO,Roger King,Caucasian/White,0,0,M,0,0,Yes,,2Bermiss
113,TROW,PRICE (T. ROWE) GROUP,12138,CEO,William Stromberg,Caucasian/White,0,0,M,0,0,Yes,,2Bermiss
114,CCL,CARNIVAL CORPORATION & PLC,13498,TMT,Micky Arison,Caucasian/White,0,0,M,0,1,Yes,,3BoardEx
115,CI,CIGNA CORP,2547,CEO,David Cordani,Caucasian/White,0,0,M,0,2,Yes,,3BoardEx
116,SRE,SEMPRA ENERGY,8272,CEO,Donald Felsinger,Caucasian/White,0,0,M,0,0,No,,2Bermiss
117,TRV,TRAVELERS COS INC,62689,CEO,Alan Schnitzer,Caucasian/White,0,0,M,0,0,Yes,,2Bermiss
118,UPS,UNITED PARCEL SERVICE INC,10920,CEO,Michael Eskew,Caucasian/White,0,0,M,0,0,Yes,,2Bermiss
119,CTAS,CINTAS CORP,3062,CEO,Scott Farmer,Caucasian/White,0,0,M,0,1,Yes,,3BoardEx
120,WMT,WALMART INC,11259,CEO,C. Douglas McMillon,Caucasian/White,0,0,M,0,0,Yes,,2Bermiss
121,C,CITIGROUP INC,3243,CEO,Mike Corbat,Caucasian/White,0,0,M,0,1,Yes,,3BoardEx
122,CMS,CMS ENERGY CORP,3439,CEO,Patti Poppe,Caucasian/White,0,0,F,1,1,Yes,Retired in 12/1/2020,3BoardEx
123,WU,WESTERN UNION CO,175263,CEO,Devin McGranahan,Caucasian/White,0,0,M,0,0,Yes,,2Bermiss
124,KO,COCA-COLA CO,3144,CEO,James Quincey,Caucasian/White,0,0,M,0,3,No,,3BoardEx
125,AXP,AMERICAN EXPRESS CO,1447,TMT,Anre Williams,Caucasian/White,0,0,M,0,3,Yes,,2Bermiss
126,CMCSA,COMCAST CORP,3226,CEO,Brian Roberts,Caucasian/White,0,0,M,0,1,Yes,,3BoardEx
127,AXP,AMERICAN EXPRESS CO,1447,TMT,Kim Goodman,Caucasian/White,0,0,F,1,3,Yes,,2Bermiss
128,DRI,DARDEN RESTAURANTS INC,31846,CEO,Gene Lee Jr,Caucasian/White,0,0,M,0,1,Yes,,3BoardEx
129,DPZ,DOMINO'S PIZZA INC,160211,CEO,Ritch Allison Jr,Caucasian/White,0,0,M,0,1,Yes,,3BoardEx
130,ETR,ENTERGY CORP,7366,TMT,Fiore Aliperti,Caucasian/White,0,0,M,0,2,Yes,,3BoardEx
131,ETR,ENTERGY CORP,7366,CEO,Leo Denault,Caucasian/White,0,0,M,0,2,Yes,,3BoardEx
132,CI,CIGNA CORP,2547,TMT,Michael Triplett,Caucasian/White,0,0,M,0,2,Yes,,2Bermiss
133,EL,ESTEE LAUDER COMPANIES INC,61567,CEO,Fabrizio Freda,Caucasian/White,0,0,M,0,2,Yes,,3BoardEx
134,EL,ESTEE LAUDER COMPANIES INC,61567,TMT,Leonard Lauder,Caucasian/White,0,0,M,0,2,Yes,,3BoardEx
135,EL,ESTEE LAUDER COMPANIES INC,61567,TMT,The Hon. Ronald Lauder,Caucasian/White,0,0,M,0,2,Yes,,3BoardEx
136,EL,ESTEE LAUDER COMPANIES INC,61567,TMT,William Lauder,Caucasian/White,0,0,M,0,2,Yes,,3BoardEx
137,EXC,EXELON CORP,8539,CEO,Chris Crane,Caucasian/White,0,0,M,0,1,Yes,,3BoardEx
138,GIS,GENERAL MILLS INC,5071,CEO,Daniel O'Day,Caucasian/White,0,0,M,0,2,Yes,,3BoardEx
139,GIS,GENERAL MILLS INC,5071,CEO,Jeff Harmening,Caucasian/White,0,0,M,0,2,Yes,,3BoardEx
140,GM,GENERAL MOTORS CO,5073,CEO,Mary Barra,Caucasian/White,0,0,F,1,1,Yes,,3BoardEx
141,HD,HOME DEPOT INC,5680,CEO,Craig Menear,Caucasian/White,0,0,M,0,3,Yes,,3BoardEx
142,HII,HUNTINGTON INGALLS IND INC,186310,CEO,Mike Petters,Caucasian/White,0,0,M,0,2,Yes,,3BoardEx
143,KEY,KEYCORP,9783,CEO,Beth Mooney,Caucasian/White,0,0,F,1,2,Yes,,3BoardEx
144,FFIV,F5 INC,121077,CEO,Francois Locoh-Donou,Caucasian/White,0,0,M,0,1,Yes,,2Bermiss
145,LLY,LILLY (ELI) & CO,6730,CEO,Dave Ricks,Caucasian/White,0,0,M,0,3,Yes,,3BoardEx
146,LMT,LOCKHEED MARTIN CORP,6774,CEO,Marillyn Hewson,Caucasian/White,0,0,F,1,1,Yes,,3BoardEx
147,MMC,MARSH & MCLENNAN COS,7065,CEO,Dan Glaser,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
148,MCD,MCDONALD'S CORP,7154,CEO,Chris Kempczinski,Caucasian/White,0,0,M,0,2,Yes,,3BoardEx
149,HII,HUNTINGTON INGALLS IND INC,186310,TMT,Michael Smith,Caucasian/White,0,0,M,0,2,Yes,,2Bermiss
150,KEY,KEYCORP,9783,TMT,Jeffrey Weaver,Caucasian/White,0,0,M,0,2,Yes,,2Bermiss
151,MDLZ,MONDELEZ INTERNATIONAL INC,142953,CEO,Doctor Dirk van de Put,Caucasian/White,0,0,M,0,1,Yes,,3BoardEx
152,NLSN,NIELSEN HOLDINGS PLC,100873,CEO,David Kenny,Caucasian/White,0,0,M,0,1,Yes,,3BoardEx
153,LOW,LOWE'S COS INC,6829,CEO,Marvin Ellison,Caucasian/White,0,0,M,0,1,Yes,,2Bermiss
